Stadium 1,Stadium 2,Coord1,Coord2,Distance (km)
Crypto.com Arena,Footprint Center,"(34.0429979, -118.2671352463293)","(33.4460392, -112.07110129629386)",577.8409273265733
Crypto.com Arena,Frost Bank Center,"(34.0429979, -118.2671352463293)","(29.4270504, -98.43750706398404)",1944.0085002063236
Crypto.com Arena,Gainbridge Fieldhouse,"(34.0429979, -118.2671352463293)","(39.7639331, -86.15550794973416)",2914.90855359653
Crypto.com Arena,Golden 1 Center,"(34.0429979, -118.2671352463293)","(38.58014045, -121.49950076409176)",581.0520761972368
Crypto.com Arena,Kaseya Center,"(34.0429979, -118.2671352463293)","(25.781359549999998, -80.18794351626137)",3766.562912769926
Crypto.com Arena,Little Caesars Arena,"(34.0429979, -118.2671352463293)","(42.3409774, -83.05495452754165)",3193.643267857958
Crypto.com Arena,Madison Square Garden,"(34.0429979, -118.2671352463293)","(40.750512900000004, -73.99351594545152)",3947.5956890484194
Crypto.com Arena,Moda Center,"(34.0429979, -118.2671352463293)","(45.5315787, -122.66683365218687)",1329.5355667583085
Crypto.com Arena,Paycom Center,"(34.0429979, -118.2671352463293)","(35.46339605, -97.51508150130435)",1903.099481810589
Crypto.com Arena,Rocket Mortgage FieldHouse,"(34.0429979, -118.2671352463293)","(41.4966862, -81.68857538921003)",3300.6937399096046
Crypto.com Arena,Scotiabank Arena,"(34.0429979, -118.2671352463293)","(43.64343375, -79.37907772483726)",3504.2025310159142
Crypto.com Arena,Smoothie King Center,"(34.0429979, -118.2671352463293)","(29.94903925, -90.08206899587637)",2693.04318214616
Crypto.com Arena,Spectrum Center,"(34.0429979, -118.2671352463293)","(35.225098, -80.83915411814897)",3413.984348644152
Crypto.com Arena,State Farm Arena,"(34.0429979, -118.2671352463293)","(33.7573698, -84.39638483503104)",3118.4299602586934
Crypto.com Arena,Target Center,"(34.0429979, -118.2671352463293)","(44.979512650000004, -93.27609502567992)",2453.7305794788626
Crypto.com Arena,TD Garden,"(34.0429979, -118.2671352463293)","(42.3662986, -71.06216222263835)",4180.848074010273
Crypto.com Arena,Toyota Center,"(34.0429979, -118.2671352463293)","(29.75074725, -95.36223151477087)",2213.3787164627515
Crypto.com Arena,United Center,"(34.0429979, -118.2671352463293)","(41.88068305, -87.67418510441388)",2808.323090473447
Crypto.com Arena,Wells Fargo Center (Philadelphia),"(34.0429979, -118.2671352463293)","(39.901100400000004, -75.17201654615069)",3854.168767695642
Delta Center,American Airlines Center,"(40.76832735, -111.90105507486473)","(32.7905076, -96.81027213460834)",1608.3893423778677
Delta Center,Amway Center,"(40.76832735, -111.90105507486473)","(28.53927385, -81.38400713924818)",3087.567913870454
Delta Center,Ball Arena,"(40.76832735, -111.90105507486473)","(39.748683799999995, -105.00754401780362)",597.0980712878223
Delta Center,Barclays Center,"(40.76832735, -111.90105507486473)","(40.68251055, -73.97525186658912)",3178.6341259236137
Delta Center,Capital One Arena,"(40.76832735, -111.90105507486473)","(38.8981883, -77.0209377602636)",2973.324504412362
Delta Center,Chase Center,"(40.76832735, -111.90105507486473)","(37.767892700000004, -122.38740721330376)",963.5499821760428
Delta Center,Crypto.com Arena,"(40.76832735, -111.90105507486473)","(34.0429979, -118.2671352463293)",934.712487825096
Delta Center,FedExForum,"(40.76832735, -111.90105507486473)","(35.1382401, -90.05069457768097)",2013.2002875304288
